Hamza;248
Ole-Christian;248
Tor-Arne;248
Odvar;237
Anfinn;235
Adolf;233
Andrzej;233
Ingmar;233
Louis;232
Mathis;232
Ole-Petter;232
Christen;230
Hamid;230
Marvin;229
Olai;229
Jarand;228
Joel;228
Halvdan;226
Per-Erik;225
Bilal;224
Piotr;223
Vilhelm;223
Eddie;219
Edin;218
Knud;216
Gert;214
Oluf;214
Artur;213
Ole-Jørgen;211
Yusuf;210
Tønnes;209
Krzysztof;208
Reinert;208
Ted;208
Nikolas;207
Noralf;207
Øyvin;207
Halvar;206
Vincent;205
Enok;204
Herbjørn;202
Linus;202
Sam;202
Widar;201
Jamal;200
Erich;
Gunder;
Joen;
Gulbrand;
Michel;
Tosten;
Poul;
Ellev;
Siur;
Arent;
Biørn;
Haagen;
Hendrich;
Abraham;
Johanes;
Henrich;
